 Product, Product Description, GTIN, Color Code, Color Descripton,Size Description, Create Date,Import,Category,Name,Sales price,Cost, Product,Bloomies Size,UPCs Left: ,  158 ,
16257,CASMERE TIE DYE JGR PANT,810065434203,23,Charcoal / Peach,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A13,E13,F13)",Top,16257 - Charcoal / Peach - L,17,8.46,16257,#NAME?,,,
16257,CASMERE TIE DYE JGR PANT,810065434210,20,Lt Grey / Pink,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A14,E14,F14)",Top,16257 - Lt Grey / Pink - XS,17,8.46,16257,#NAME?,,,
16257,CASMERE TIE DYE JGR PANT,810065434227,20,Lt Grey / Pink,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A15,E15,F15)",Top,16257 - Lt Grey / Pink - S,17,8.46,16257,#NAME?,,,
16257,CASMERE TIE DYE JGR PANT,810065434234,20,Lt Grey / Pink,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A16,E16,F16)",Top,16257 - Lt Grey / Pink - M,17,8.46,16257,#NAME?,,,
16257,CASMERE TIE DYE JGR PANT,810065434241,20,Lt Grey / Pink,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A17,E17,F17)",Top,16257 - Lt Grey / Pink - L,17,8.46,16257,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434258,215,Cocoa,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A18,E18,F18)",Top,16258 - Cocoa - XS,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434265,215,Cocoa,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A19,E19,F19)",Top,16258 - Cocoa - S,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434272,215,Cocoa,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A20,E20,F20)",Top,16258 - Cocoa - M,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434289,215,Cocoa,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A21,E21,F21)",Top,16258 - Cocoa - L,13,6.48,16258,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434296,215,Cocoa,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A22,E22,F22)",Pant,16259 - Cocoa - XS,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434302,215,Cocoa,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A23,E23,F23)",Pant,16259 - Cocoa - S,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434319,215,Cocoa,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A24,E24,F24)",Pant,16259 - Cocoa - M,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434326,215,Cocoa,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A25,E25,F25)",Pant,16259 - Cocoa - L,18,8.35,16259,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065434333,540,Dark Lavender,X Small,1/12/2021,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065434340,540,Dark Lavender,Small,1/12/2021,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065434357,540,Dark Lavender,Medium,1/12/2021,,,,,,,#NAME?,,,
16276,Ribbed Scoop Neck Top,810065434364,540,Dark Lavender,Large,1/12/2021,,,,,,,#NAME?,,,
16280,Balloon Slv Top,810065434388,413,Navy / Multi,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A31,E31,F31)",Top,16280 - Navy / Multi - S,17,8.67,16280,#NAME?,,,
16280,Balloon Slv Top,810065434395,413,Navy / Multi,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A32,E32,F32)",Top,16280 - Navy / Multi - M,17,8.67,16280,#NAME?,,,
16280,Balloon Slv Top,810065434401,413,Navy / Multi,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A33,E33,F33)",Top,16280 - Navy / Multi - L,17,8.67,16280,#NAME?,,,
16281,Long Tiered Skirt,810065434418,413,Navy / Multi,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A34,E34,F34)",Skirt,16281 - Navy / Multi - XS,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434425,413,Navy / Multi,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A35,E35,F35)",Skirt,16281 - Navy / Multi - S,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434432,413,Navy / Multi,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A36,E36,F36)",Skirt,16281 - Navy / Multi - M,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434449,413,Navy / Multi,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A37,E37,F37)",Skirt,16281 - Navy / Multi - L,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434463,001,Black,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A38,E38,F38)",Skirt,16281 - Black - S,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434470,001,Black,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A39,E39,F39)",Skirt,16281 - Black - M,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434487,001,Black,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A40,E40,F40)",Skirt,16281 - Black - L,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434494,20,Grey / Pink,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A41,E41,F41)",Skirt,16281 - Grey / Pink - XS,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434500,20,Grey / Pink,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A42,E42,F42)",Skirt,16281 - Grey / Pink - S,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434517,20,Grey / Pink,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A43,E43,F43)",Skirt,16281 - Grey / Pink - M,21,10.83,16281,#NAME?,,,
16281,Long Tiered Skirt,810065434524,20,Grey / Pink,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A44,E44,F44)",Skirt,16281 - Grey / Pink - L,21,10.83,16281,#NAME?,,,
16282,Printed Shoulder Top,810065434456,1,Black,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A45,E45,F45)",Top,16282 - Black - XS,13.5,6.6,16282,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434562,1,Black,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A46,E46,F46)",Dress,WO-7137 - Black - L,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434579,100,White,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A47,E47,F47)",Dress,WO-7137 - White - XS,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434586,100,White,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A48,E48,F48)",Dress,WO-7137 - White - S,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434593,100,White,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A49,E49,F49)",Dress,WO-7137 - White - M,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434609,100,White,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A50,E50,F50)",Dress,WO-7137 - White - L,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434531,1,Black,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A51,E51,F51)",Dress,WO-7137 - Black - XS,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434548,1,Black,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A52,E52,F52)",Dress,WO-7137 - Black - S,23,10.1,WO-7137,#NAME?,,,
WO-7137,Tiered Dress w/ Bow,810065434555,1,Black,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A53,E53,F53)",Dress,WO-7137 - Black - M,23,10.1,WO-7137,#NAME?,,,
WO-7140,Puff Slv Tiered Maxi,810065434616,413,Navy,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A54,E54,F54)",Dress,WO-7140 - Navy - XS,27.5,13.88,WO-7140,#NAME?,,,
WO-7140,Puff Slv Tiered Maxi,810065434623,413,Navy,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A55,E55,F55)",Dress,WO-7140 - Navy - S,27.5,13.88,WO-7140,#NAME?,,,
WO-7140,Puff Slv Tiered Maxi,810065434630,413,Navy,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A56,E56,F56)",Dress,WO-7140 - Navy - M,27.5,13.88,WO-7140,#NAME?,,,
WO-7140,Puff Slv Tiered Maxi,810065434647,413,Navy,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A57,E57,F57)",Dress,WO-7140 - Navy - L,27.5,13.88,WO-7140,#NAME?,,,
WO-7142,Flutter Slv Elastic Waist,810065434654,400,Lt Blue / Multi,X Small,1/12/2021,"TEXTJOIN( - ,TRUE,A58,E58,F58)",Dress,WO-7142 - Lt Blue / Multi - XS,31,16.03,WO-7142,#NAME?,,,
WO-7142,Flutter Slv Elastic Waist,810065434661,400,Lt Blue / Multi,Small,1/12/2021,"TEXTJOIN( - ,TRUE,A59,E59,F59)",Dress,WO-7142 - Lt Blue / Multi - S,31,16.03,WO-7142,#NAME?,,,
